//以下为针对口齿不清的矫正

//人称
あなひゃ	あなた
わたひ	私
わらひ	私
わらし	私

//ひょ
ひょ	と	//一般情况
//りゅ
りゅ	る

//し
しへぇ	して
しへっ	して
しひな	しいな
しひゃ	しちゃ
しゃま	様
しゃみゃ	様
しゃん	さん
しゅぎ	すぎ
しゅごひ	すごい	
しゅごイ	すごい
しゅゴい	すごい
しゅご	すご
しゅきぃ	しゅき	
しゅき	好き
しなひ	しない
しぇいえき	精液
しゅけべ	スケベ
しきゅ	子宮
しゃれれ	されて
しゃれて	されて
しょこ	そこ

らい好き	大好き
かみ様	神様

//ひん
ひんぽ	ちんぽ
ひんこ	ちんぽ
ひんひん	ちんぽ
ヒンポ	ちんぽ

きもち	気持ち
きもひ	気持ち
ぎもひ	気持ち
ぎもぢい	気持ち
きひゃ	きた

うれひい	嬉しい

せーえき	精液
せ～えき	精液
じゃーめん	精液
せーし	精子

//かりゃ
らかりゃ	だがら	//所以
らけれ	だけで
れふかりゃ	ですから
かりゃ	から
らめだがら	ダメだがら

//ら
らしへっ	出して
らひへ	出して
らひて	出して
、らして	、出して
にらして	に出して
らしゃれ	出され
らめらめ	ダメダメ
らめっ	ダメ	//打咩！
らめ、	ダメ、
らめ…	ダメ…
らめぇ	ダメ
らめ！	ダメ！
らめです	ダメです
らめなの	ダメなの
らめらの	ダメなの

にゃ	な	//可能把猫叫替换掉
にょ	の

なからし	中出し
ながりゃ	ながら
なきゃに	中に

あちゅい	暑い
あちゅイ	暑い
あちゅく	暑く
あちゅあちゅ	あつあつ
あちゅし	暑し

おぐに	奥に
おいひい	美味しい
おかひ	おかし
おしおき	お仕置き

もっろ	もっと
れひゅ	です
れしゅ	です
まひゅ	ます
=======================
えっひな	エッチな
可愛がっれ	可愛がって
赤ひゃん	赤ちゃん
主ひゃん	主ちゃん
でちゅ	です	//婴儿语
けろ	けど
恥じゅ	恥ず
恥ずかひ	恥ずかし
かひい	かしい
止まらなひ	止まらない
トロけひゃ	蕩けちゃ
トロけ	蕩け
みるく	ミルク
まひゃ	また
イきゅ	イく
イっく	イく
イクぅ	イクぅ
イぐ	イく
れふっ	です
はげひ	激しい
されへ	されて
イカしぇ	イカせ
イカしゃ	イカせ
たくひゃん	たくさん

いひょに	一緒に
いっふぁい	いっぱい

みたひに	みたいに
かっひゃ	かった	//わかった和よかった
ちょうらい	ちょうだい

ごしゅじんひゃま	ご主人様
ごしゅじん	ご主人

ごひゅいんふん	ご主人くん
ごしゅいん	ご主人
ごしゅりん	ご主人
ごしゅりんきゅん	ご主人くん

ごひゅりんはま	ご主人様
ごひゅりんひゃは	ご主人様
ごひゅりんひゃま	ご主人様
ごひゅりん	ご主人

ごひゅじんひゃみゃ	ご主人様
ごひゅじんきゅん	ご主人くん
ごひゅじん	ご主人

ご主人きゅん	ご主人くん
主きゅん	主くん
主クン	主くん
ご主人ひゃま	ご主人様
ありゅじ	主

こにょまま	このまま

くれへっ	くれてっ
くらひゃイ	ください
くらさイ	ください
くらさい	ください
くらさぁい	ください

まらまら	またまた
、まら	、また
…まら	…また
にまら	にまた
もまら	もまた

れふ	です

チ○コ	チンコ
チ○チ	チンチ
チ○ポ	チンポ
ち○ち	ちんち
ち○こ	ちんこ
ち○ぽ	ちんぽ

マ○コ	マンコ
ま○こ	まんこ

チ〇コ	チンコ
チ〇チ	チンチ
チ〇ポ	チンポ
ち〇ち	ちんち
ち〇こ	ちんこ
ち〇ぽ	ちんぽ

マ〇コ	マンコ
ま〇こ	まんこ

チ●コ	チンコ
チ●チ	チンチ
チ●ポ	チンポ
ち●ち	ちんち
ち●こ	ちんこ
ち●ぽ	ちんぽ

マ●コ	マンコ
ま●こ	まんこ
