这	這
说	説
为	為
你	凜
们	們
时	時
过	過
对	対
么	麼
她	瑤
还	還
现	現
发	髪
种	種
样	樣
见	見
经	経
头	頭
书	書
实	実
开	開
两	両
动	動
话	話
问	問
间	間
论	論
长	長
进	進
义	義
给	給
关	関
别	別
门	門
觉	覚
复	復
难	難
东	東
应	応
风	風
张	張
认	認
传	伝
题	題
处	処
马	馬
诗	詩
让	讓
爱	愛
师	師
语	語
变	変
尔	爾
许	許
结	結
边	邊
历	歴
记	記
读	読
识	識
战	戰
德	徳
术	術
远	遠
总	総
观	観
呢	遙
吧	槇
连	連
强	強
则	則
该	該
啊	堯
场	場
轻	軽
亲	親
统	統
吗	龜
带	帯
业	業
产	産
脸	臉
虽	雖
军	軍
极	極
类	類
满	満
转	転
步	歩
剑	剣
黑	黒
离	離
电	電
每	毎
飞	飛
济	済
艺	藝
众	衆
杀	殺
报	報
车	車
终	終
红	紅
视	視
谁	誰
绝	絶
确	確
达	達
惊	驚
罗	羅
乐	楽
资	資
运	運
华	華
伤	傷
评	評
响	響
刚	剛
谈	談
领	領
权	権
晚	晩
兴	興
哪	齧
显	顕
图	圖
钱	銭
杨	楊
态	態
灵	霊
译	訳
另	鄰
欢	歓
错	錯
联	聯
计	計
纪	紀
请	請
创	創
阳	陽
选	選
紧	緊
单	単
词	詞
调	調
编	編
异	異
员	員
仅	僅
势	勢
讲	講
办	齡
汉	漢
证	証
较	較
击	撃
严	厳
龙	竜
约	約
兰	蘭
质	質
够	鉤
帮	幇
陆	陸
铁	鉄
节	節
细	細
笔	筆
值	値
陈	陳
热	熱
苏	蘇
沉	齣
怀	懐
妈	媽
际	際
级	級
恶	悪
须	須
维	維
举	挙
专	専
导	導
备	備
务	務
简	簡
费	費
脑	脳
杂	雑
亚	亜
顾	顧
岁	歳
构	構
队	隊
鲁	魯
续	続
剧	劇
闻	聞
爷	爺
敌	敵
规	規
阵	陣
习	習
线	線
树	樹
阶	階
诉	訴
设	設
谓	謂
围	囲
议	議
谢	謝
录	録
层	層
标	標
摇	揺
归	帰
刘	劉
齐	斉
戏	戯
隐	隠
跑	鉋
寻	尋
查	査
试	試
饭	飯
渐	漸
护	護
组	組
胜	勝
瞧	喬
释	釈
讨	討
验	験
买	買
贵	貴
继	継
团	団
适	適
农	農
叹	嘆
卫	衛
丽	麗
块	塊
宫	宮
环	環
份	齒
换	換
伦	倫
败	敗
压	圧
圣	聖
责	責
丝	絲
赶	骭
页	頁
险	険
顿	頓
孙	孫
凤	鳳
药	薬
妇	婦
韦	韋
养	養
卡	裃
园	園
纸	紙
劳	労
钟	鐘
扬	揚
误	誤
咱	齊
划	劃
挥	揮
毕	畢
负	負
宁	寧
您	鼡
银	銀
诸	諸
阴	陰
吴	呉
赵	趙
闪	閃
纳	納
罢	罷
遗	遺
顺	順
辑	輯
乡	郷
临	臨
坚	堅
顶	頂
练	練
缓	緩
增	増
职	職
啦	鼕
馆	館
伟	偉
获	獲
劲	勁
枪	槍
灭	滅
懂	皷
骂	罵
辈	輩
忆	憶
优	優
预	預
择	擇
补	補
贝	貝
鲜	鮮
织	織
积	積
晓	暁
卖	売
